Day,Sales,Trading Profit,Operating Expense,Net Profit
1,0,0,12600,-12600
2,0,0,220520,-220520
3,0,0,267123,-267123
4,0,0,334426,-334426
5,85299,31676,381248,-349572
6,168503,66385,424572,-358187
7,252216,102666,466460,-363794
8,333969,91373,509105,-417732
9,514602,122112,583114,-461002
10,1027457,374696,624812,-250116
11,2685222,1066866,678919,387947
12,3063332,1268428,719086,549342
13,3469340,1497410,763221,734189
14,4065152,1846039,839142,1006897
15,4148188,1866427,888229,978198
16,4332167,1905098,934092,971006
17,4414263,1881781,999470,882311
18,4513009,1872890,1102886,770004
19,6393988,2664633,1186502,1478131
20,7288465,3029641,1240257,1789384
21,8488594,3511404,1291057,2220347
22,8634728,3633464,1343606,2289858
23,9328417,3887399,1393597,2493802
24,10096244,4190670,1520395,2670275
25,10182393,4237104,1577695,2659409
26,10308078,4317949,1650802,2667147
27,10521870,4485006,1741433,2743573
28,10667910,4580653,1799467,2781186
29,11746204,4900924,1857669,3043255
30,12711653,5184081,1912129,3271952
31,12802525,5225144,1987603,3237541
32,12965173,5326553,2064530,3262023
33,13101128,5416070,2122423,3293647
34,13771470,5671071,2279229,3391842
35,14798274,5994496,2367657,3626839
36,15145185,6289406,2469887,3819519
37,15733157,6619150,2534168,4084982
38,17202625,7164821,2596080,4568741
39,18565456,7715463,2662342,5053121
40,18667027,7775686,2761329,5014357
41,19358362,7992288,2840487,5151801
42,19459345,8047482,2909997,5137485
43,19672121,8234719,3079048,5155671
44,19802569,8303872,3172692,5131180
45,21033157,8533140,3294723,5238417
46,21551369,8689725,3394138,5295587
47,21716304,8798890,3476802,5322088
48,22230587,8939130,3568717,5370413
49,22373006,9027420,3647035,5380385
50,22526680,9149518,3725485,5424033
51,23302315,9349087,3831664,5517423
52,23440883,9454550,3937831,5516719
53,23513623,9496975,4034117,5462858
54,23649271,9601319,4144552,5456767
55,23889042,9712218,4222855,5489363
56,24513769,10092030,4316828,5775202
57,25059503,10210305,4398544,5811761
58,25395471,10411501,4505326,5906175
59,25507185,10498589,4638862,5859727
60,26413237,10862419,4779562,6082857
61,26487767,10911234,4872828,6038406
62,26558344,10957643,4981212,5976431
63,26845973,11120960,5076051,6044909
64,27093053,11282395,5149940,6132455
65,27163437,11326971,5234407,6092564
66,27282889,11424646,5321886,6102760
67,27662762,11545152,5412026,6133126
68,27857173,11622305,5481236,6141069
69,28085384,11817228,5551779,6265449
70,28619213,11904509,5617627,6286882
71,28720210,11971039,5688977,6282062
72,28899160,12123257,5817674,6305583
73,29189644,12194227,5904254,6289973
74,29648066,12372781,6009436,6363345
75,29931360,12439614,6090026,6349588
76,30723618,12486041,6168425,6317616
77,31066560,12509910,6235026,6274884
78,31657936,12885267,6297029,6588238
79,32428190,13163529,6373607,6789922
80,33216738,13396867,6449942,6946925
81,34037911,13788880,6581709,7207171
82,34738021,14233403,6727028,7506375
83,34839430,14290632,6809637,7480995
84,35060987,14420374,6898149,7522225
85,35328422,14437959,7013959,7424000
86,35895835,14513154,7111843,7401311
87,37075955,14647891,7191424,7456467
88,37831897,14789373,7328199,7461174
89,38397657,14867550,7393113,7474437
90,38742812,14898033,7557874,7340159
